Test Function,Algorithm,Trial,Best Score,Time (s)
Sphere,PSO,1,8.223329693263344e-08,0.087999
Sphere,PSO,2,2.4503818666732644e-08,0.075257
Sphere,PSO,3,1.903345732361173e-06,0.070169
Sphere,PSO,4,1.1007519702791873e-07,0.061548
Sphere,PSO,5,5.864879205289559e-09,0.060768
Sphere,PSO,6,1.7157888658602547e-09,0.066442
Sphere,PSO,7,5.590124279284254e-11,0.060165
Sphere,PSO,8,1.948993098503777e-08,0.064890
Sphere,PSO,9,6.747910606848253e-08,0.058311
Sphere,PSO,10,1.0299083592858762e-07,0.060414
Sphere,PSO,11,9.919990045241676e-10,0.064739
Sphere,PSO,12,1.291980131156705e-08,0.062103
Sphere,PSO,13,3.769582534745309e-08,0.079262
Sphere,PSO,14,2.5542200122876392e-08,0.068213
Sphere,PSO,15,1.3972838769643458e-08,0.071674
Sphere,PSO,16,1.0775532946820223e-08,0.079298
Sphere,PSO,17,7.212761246495358e-09,0.063938
Sphere,PSO,18,1.9529617933595907e-07,0.067577
Sphere,PSO,19,2.3550889446789347e-08,0.077551
Sphere,PSO,20,3.0314160605151464e-07,0.067788
Sphere,PSO,21,3.959784638868343e-09,0.072208
Sphere,ABC,1,1.0914914345277734e-05,0.179366
Sphere,ABC,2,4.324242553492933e-05,0.119651
Sphere,ABC,3,2.9716915963271398e-05,0.120196
Sphere,ABC,4,9.414027035020097e-07,0.127670
Sphere,ABC,5,2.5881731813244133e-06,0.127324
Sphere,ABC,6,6.893504351884699e-05,0.129959
Sphere,ABC,7,2.3124462133937377e-05,0.126452
Sphere,ABC,8,6.366622721851066e-06,0.128439
Sphere,ABC,9,7.940599489446284e-05,0.129735
Sphere,ABC,10,4.6204597653553376e-05,0.124001
Sphere,ABC,11,1.9309212916450226e-05,0.133252
Sphere,ABC,12,0.0001976335700009688,0.116526
Sphere,ABC,13,1.208408641165927e-06,0.106266
Sphere,ABC,14,4.36203102561613e-05,0.110048
Sphere,ABC,15,2.3744074892402594e-05,0.227934
Sphere,ABC,16,3.407709271494116e-05,0.114559
Sphere,ABC,17,8.542921131790561e-06,0.103795
Sphere,ABC,18,1.8654060498190894e-05,0.117439
Sphere,ABC,19,5.5324800458677695e-05,0.135291
Sphere,ABC,20,0.00010287744103583423,0.104944
Sphere,ABC,21,5.7078775314527875e-05,0.111385
Sphere,Firefly,1,9.85348669865586e-07,0.361755
Sphere,Firefly,2,7.497522419469251e-06,0.306724
Sphere,Firefly,3,1.9546150998711682e-05,0.303978
Sphere,Firefly,4,1.0722249338338735e-05,0.410709
Sphere,Firefly,5,4.4375280986711715e-06,0.325056
Sphere,Firefly,6,6.112692279913788e-06,0.328363
Sphere,Firefly,7,3.273425737585893e-05,0.328401
Sphere,Firefly,8,1.3029697987179675e-05,0.318627
Sphere,Firefly,9,5.778689985993387e-06,0.312215
Sphere,Firefly,10,7.395807365676916e-07,0.371667
Sphere,Firefly,11,7.186851875600517e-06,0.318406
Sphere,Firefly,12,2.965018090372172e-06,0.321679
Sphere,Firefly,13,1.266480152251226e-05,0.330636
Sphere,Firefly,14,2.6330558839652156e-06,0.319909
Sphere,Firefly,15,2.04405270866819e-06,0.314664
Sphere,Firefly,16,2.056659545320406e-06,0.322138
Sphere,Firefly,17,5.811773693433707e-06,0.471912
Sphere,Firefly,18,3.2179518236851766e-06,0.314127
Sphere,Firefly,19,7.369123112204491e-06,0.414114
Sphere,Firefly,20,3.434051181223247e-06,0.311046
Sphere,Firefly,21,7.146255581115103e-06,0.290608
Sphere,CuckooSearch,1,5.4105952822462895e-05,0.052145
Sphere,CuckooSearch,2,1.2182243541976063e-06,0.059739
Sphere,CuckooSearch,3,0.0015343534240408966,0.050246
Sphere,CuckooSearch,4,3.4419572822391505e-06,0.049731
Sphere,CuckooSearch,5,4.6180570582922756e-05,0.044576
Sphere,CuckooSearch,6,1.0622156647356224e-05,0.049376
Sphere,CuckooSearch,7,5.504328057973178e-05,0.064706
Sphere,CuckooSearch,8,5.909183279980153e-05,0.059939
Sphere,CuckooSearch,9,0.00012075969545285322,0.052656
Sphere,CuckooSearch,10,0.0002770780659640183,0.062825
Sphere,CuckooSearch,11,2.4304853391012895e-05,0.051792
Sphere,CuckooSearch,12,8.470953249146175e-05,0.095246
Sphere,CuckooSearch,13,1.444103238501054e-06,0.050017
Sphere,CuckooSearch,14,2.0384458049247448e-07,0.049987
Sphere,CuckooSearch,15,1.7967056068334728e-05,0.050906
Sphere,CuckooSearch,16,3.6671313450033915e-05,0.046220
Sphere,CuckooSearch,17,3.8913026420034356e-07,0.042355
Sphere,CuckooSearch,18,1.5678409764009547e-06,0.050059
Sphere,CuckooSearch,19,1.988341476095926e-05,0.060180
Sphere,CuckooSearch,20,1.0932330212511443e-05,0.055710
Sphere,CuckooSearch,21,2.829985661159987e-05,0.059150
Sphere,PSO,22,4.178171039775837e-09,0.078819
Sphere,PSO,23,1.3993851665018107e-07,0.072681
Sphere,PSO,24,2.178106943684195e-08,0.063444
Sphere,PSO,25,3.2198293799700917e-07,0.061850
Sphere,PSO,26,4.056385509690153e-09,0.057961
Sphere,PSO,27,9.804674177914268e-07,0.066895
Sphere,PSO,28,5.376650151313401e-07,0.059182
Sphere,PSO,29,2.5266850122049195e-08,0.062701
Sphere,PSO,30,3.772490710357849e-07,0.087614
Sphere,PSO,31,4.045743687532657e-07,0.073211
Sphere,PSO,32,1.134820171494487e-07,0.063018
Sphere,PSO,33,1.2796969399852853e-08,0.083621
Sphere,PSO,34,2.3296027923363656e-09,0.096644
Sphere,PSO,35,4.211852066397436e-07,0.069752
Sphere,PSO,36,2.359270535722215e-07,0.079766
Sphere,PSO,37,1.6802722007560417e-08,0.064429
Sphere,PSO,38,6.900037279154663e-08,0.065813
Sphere,PSO,39,4.285519924099741e-08,0.074209
Sphere,PSO,40,5.4098847523147365e-09,0.070711
Sphere,PSO,41,6.047434422979716e-07,0.078001
Sphere,PSO,42,1.6713523931017293e-08,0.076715
Sphere,ABC,22,2.233509440251762e-06,0.130981
Sphere,ABC,23,8.996110723788275e-07,0.169309
Sphere,ABC,24,8.485708855154123e-05,0.146269
Sphere,ABC,25,4.8788812231572535e-06,0.130379
Sphere,ABC,26,2.7446033953263136e-06,0.125349
Sphere,ABC,27,6.710880822987148e-05,0.127600
Sphere,ABC,28,3.3130609896770866e-05,0.146297
Sphere,ABC,29,1.1653884792200085e-06,0.150265
Sphere,ABC,30,2.940659978692203e-05,0.138031
Sphere,ABC,31,2.933929980887804e-06,0.145975
Sphere,ABC,32,6.38777858678247e-05,0.225732
Sphere,ABC,33,6.832151279079814e-06,0.159615
Sphere,ABC,34,1.2050515911126384e-06,0.150003
Sphere,ABC,35,3.2509274928168186e-05,0.123113
Sphere,ABC,36,2.3684208966745402e-06,0.106996
Sphere,ABC,37,4.0237319748810994e-05,0.113404
Sphere,ABC,38,2.053980471755825e-06,0.111617
Sphere,ABC,39,3.193944208816791e-05,0.115060
Sphere,ABC,40,6.772703602764029e-06,0.114838
Sphere,ABC,41,2.4333640601996913e-05,0.115359
Sphere,ABC,42,1.8986554718934705e-06,0.151411
Sphere,Firefly,22,2.5951169211242837e-06,0.408576
Sphere,Firefly,23,2.3659263425916687e-06,0.302846
Sphere,Firefly,24,1.823321636341522e-06,0.365371
Sphere,Firefly,25,1.1351732697545012e-06,0.314696
Sphere,Firefly,26,3.5579416311749417e-06,0.309754
Sphere,Firefly,27,9.979390663026365e-06,0.354869
Sphere,Firefly,28,3.1311440021326938e-06,0.303006
Sphere,Firefly,29,7.9069910373311e-06,0.307150
Sphere,Firefly,30,3.1624246923826696e-05,0.312858
Sphere,Firefly,31,1.0453439712015723e-05,0.332071
Sphere,Firefly,32,8.673633774360273e-06,0.372197
Sphere,Firefly,33,3.8859292737800734e-06,0.322723
Sphere,Firefly,34,3.066683944234841e-07,0.294771
Sphere,Firefly,35,1.9680707287924387e-06,0.304982
Sphere,Firefly,36,3.722228683475428e-05,0.290108
Sphere,Firefly,37,2.138631573694156e-05,0.310261
Sphere,Firefly,38,1.000469962306619e-05,0.361888
Sphere,Firefly,39,5.136861194173641e-06,0.387102
Sphere,Firefly,40,9.726476342581836e-08,0.339947
Sphere,Firefly,41,1.198084406212665e-05,0.299790
Sphere,Firefly,42,9.843348177900172e-06,0.313262
Sphere,CuckooSearch,22,3.306041155244288e-05,0.073483
Sphere,CuckooSearch,23,0.00022406700637719803,0.057589
Sphere,CuckooSearch,24,1.5183030487521386e-06,0.049445
Sphere,CuckooSearch,25,1.5922002660746658e-05,0.052453
Sphere,CuckooSearch,26,8.138688534572006e-05,0.068382
Sphere,CuckooSearch,27,4.528412306680698e-06,0.050168
Sphere,CuckooSearch,28,0.0002276696338818003,0.051945
Sphere,CuckooSearch,29,6.244533427087486e-06,0.049953
Sphere,CuckooSearch,30,2.7733050993740975e-05,0.058832
Sphere,CuckooSearch,31,2.306920109195451e-05,0.055286
Sphere,CuckooSearch,32,1.0874187829476539e-05,0.058934
Sphere,CuckooSearch,33,4.5013861694653644e-05,0.066887
Sphere,CuckooSearch,34,1.7681487997577137e-05,0.085146
Sphere,CuckooSearch,35,0.00022442374968173015,0.049955
Sphere,CuckooSearch,36,6.092903731081375e-05,0.049836
Sphere,CuckooSearch,37,0.0008610358899073594,0.048178
Sphere,CuckooSearch,38,1.882170456085557e-05,0.046946
Sphere,CuckooSearch,39,1.828239966491955e-05,0.049771
Sphere,CuckooSearch,40,1.1559951340645592e-07,0.060034
Sphere,CuckooSearch,41,1.0444058643819097e-05,0.049916
Sphere,CuckooSearch,42,0.0005113539649119837,0.050098